symbol,company_name,sector
J&KBANK,Jammu & Kashmir Bank Ltd,FINANCIAL SERVICES
JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,PHARMACEUTICALS
JKCEMENT,JK Cement Ltd,CEMENT
JKPAPER,JK Paper Ltd,CONSUMER DISCRETIONARY
JMFINANCIL,JM Financial Ltd,FINANCIAL SERVICES
JPPOWER,Jaiprakash Power Ventures Ltd,UTILITIES
JUBLFOOD,Jubilant Foodworks Ltd,CONSUMER DISCRETIONARY
JUBLINDS,Jubilant Industries Ltd,CHEMICALS
KAJARIACER,Kajaria Ceramics Ltd,CONSUMER DISCRETIONARY
KALPATPOWR,Kalpataru Projects International Ltd,CAPITAL GOODS
KANSAINER,Kansai Nerolac Paints Ltd,CONSUMER DISCRETIONARY
KAYNES,Kaynes Technology India Ltd,CAPITAL GOODS
KFINTECH,KFin Technologies Ltd,FINANCIAL SERVICES
KIMS,Krishna Institute of Medical Sciences Ltd,HEALTHCARE
KIRLOSENG,Kirloskar Electric Company Ltd,CAPITAL GOODS
KNRCON,KNR Constructions Ltd,CAPITAL GOODS
KRBL,KRBL Ltd,CONSUMER STAPLES
KSCL,Kaveri Seed Company Ltd,CONSUMER STAPLES
LALPATHLAB,Dr Lal PathLabs Ltd,HEALTHCARE
LAURUSLABS,Laurus Labs Ltd,PHARMACEUTICALS
LICHSGFIN,LIC Housing Finance Ltd,FINANCIAL SERVICES
LTIM,LTIMindtree Ltd,IT
LTTS,L&T Technology Services Ltd,IT
LUPIN,Lupin Ltd,PHARMACEUTICALS
MARICO,Marico Ltd,CONSUMER STAPLES
MAZDOCK,Mazagon Dock Shipbuilders Ltd,CAPITAL GOODS
MEDPLUS,Medplus Health Services Ltd,HEALTHCARE
METROPOLIS,Metropolis Healthcare Ltd,HEALTHCARE
MFSL,Max Financial Services Ltd,FINANCIAL SERVICES
MIDHANI,Mishra Dhatu Nigam Ltd,METALS & MINING
MINDAIND,Minda Industries Ltd,CONSUMER DISCRETIONARY
MOTHERSON,Samvardhana Motherson International Ltd,CONSUMER DISCRETIONARY
MPHASIS,Mphasis Ltd,IT
MRF,MRF Ltd,CONSUMER DISCRETIONARY
MUTHOOTFIN,Muthoot Finance Ltd,FINANCIAL SERVICES
NATCOPHARM,Natco Pharma Ltd,PHARMACEUTICALS
NAVINFLUOR,Navin Fluorine International Ltd,CHEMICALS
NESTLEIND,Nestle India Ltd,CONSUMER STAPLES
NETWORK18,Network18 Media & Investments Ltd,CONSUMER DISCRETIONARY
NIACL,New India Assurance Company Ltd,FINANCIAL SERVICES
NLCINDIA,NLC India Ltd,UTILITIES
NMDC,NMDC Ltd,METALS & MINING
NUVOCO,Nuvoco Vistas Corporation Ltd,CEMENT
OBEROIRLTY,Oberoi Realty Ltd,REAL ESTATE
OFSS,Oracle Financial Services Software Ltd,IT
OIL,Oil India Ltd,OIL & GAS
PAGEIND,Page Industries Ltd,CONSUMER DISCRETIONARY
PEL,Piramal Enterprises Ltd,FINANCIAL SERVICES
PERSISTENT,Persistent Systems Ltd,IT
PGHH,Procter & Gamble Hygiene and Health Care Ltd,CONSUMER STAPLES
PHOENIXLTD,Phoenix Mills Ltd,REAL ESTATE
PIDILITIND,Pidilite Industries Ltd,CHEMICALS
PIIND,PI Industries Ltd,CHEMICALS
POLICYBZR,PB Fintech Ltd,FINANCIAL SERVICES
POLYCAB,Polycab India Ltd,CAPITAL GOODS
POLYMED,Poly Medicure Ltd,HEALTHCARE
POONAWALLA,Poonawalla Fincorp Ltd,FINANCIAL SERVICES
PRESTIGE,Prestige Estates Projects Ltd,REAL ESTATE
PRINCEPIPE,Prince Pipes and Fittings Ltd,CAPITAL GOODS
PRSMJOHNSN,Prism Johnson Ltd,CEMENT
PVRINOX,PVR INOX Ltd,CONSUMER DISCRETIONARY
RADIOCITY,Music Broadcast Ltd,CONSUMER DISCRETIONARY
RAINBOW,Rainbow Children's Medicare Ltd,HEALTHCARE
RAJESHEXPO,Rajesh Exports Ltd,CONSUMER DISCRETIONARY
RAMCOCEM,Ramco Cements Ltd,CEMENT
RATNAMANI,Ratnamani Metals & Tubes Ltd,METALS & MINING
RAYMOND,Raymond Ltd,CONSUMER DISCRETIONARY
RECLTD,REC Ltd,FINANCIAL SERVICES
REDINGTON,Redington Ltd,IT
RELAXO,Relaxo Footwears Ltd,CONSUMER DISCRETIONARY
RITES,RITES Ltd,CAPITAL GOODS
ROSSARI,Rossari Biotech Ltd,CHEMICALS
ROUTE,Route Mobile Ltd,IT
SANOFI,Sanofi India Ltd,PHARMACEUTICALS
SAPPHIRE,Sapphire Foods India Ltd,CONSUMER DISCRETIONARY
SCHAEFFLER,Schaeffler India Ltd,CAPITAL GOODS
SHREECEM,Shree Cement Ltd,CEMENT
SIEMENS,Siemens Ltd,CAPITAL GOODS
SOBHA,Sobha Ltd,REAL ESTATE
SRF,SRF Ltd,CHEMICALS
STARHEALTH,Star Health and Allied Insurance Co Ltd,FINANCIAL SERVICES
SUNTV,Sun TV Network Ltd,CONSUMER DISCRETIONARY
SUPREMEIND,Supreme Industries Ltd,CAPITAL GOODS
SUZLON,Suzlon Energy Ltd,CAPITAL GOODS
SYNGENE,Syngene International Ltd,PHARMACEUTICALS
TANLA,Tanla Platforms Ltd,IT
TATACOMM,Tata Communications Ltd,TELECOM
TATAELXSI,Tata Elxsi Ltd,IT
TIINDIA,Tube Investments of India Ltd,CAPITAL GOODS
TORNTPHARM,Torrent Pharmaceuticals Ltd,PHARMACEUTICALS
TRENT,Trent Ltd,CONSUMER DISCRETIONARY
TRIDENT,Trident Ltd,CONSUMER DISCRETIONARY
TRITURBINE,Triveni Turbine Ltd,CAPITAL GOODS
UCOBANK,UCO Bank,FINANCIAL SERVICES
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,FINANCIAL SERVICES
UNITDSPR,United Spirits Ltd,CONSUMER STAPLES
USHAMART,Usha Martin Ltd,METALS & MINING
UTIAMC,UTI Asset Management Company Ltd,FINANCIAL SERVICES
VAIBHAVGBL,Vaibhav Global Ltd,CONSUMER DISCRETIONARY
VAKRANGEE,Vakrangee Ltd,IT
VBL,Varun Beverages Ltd,CONSUMER STAPLES
VEDL,Vedanta Ltd,METALS & MINING
VIJAYABANK,Vijaya Bank,FINANCIAL SERVICES
VINATIORGA,Vinati Organics Ltd,CHEMICALS
VOLTAS,Voltas Ltd,CONSUMER DISCRETIONARY
VSTIND,VST Industries Ltd,CONSUMER STAPLES
WHIRLPOOL,Whirlpool of India Ltd,CONSUMER DISCRETIONARY
WIPRO,Wipro Ltd,IT
WOCKPHARMA,Wockhardt Ltd,PHARMACEUTICALS
ZEEL,Zee Entertainment Enterprises Ltd,CONSUMER DISCRETIONARY
ZENTEC,Zen Technologies Ltd,CAPITAL GOODS
ZOMATO,Zomato Ltd,CONSUMER DISCRETIONARY
ZYDUSLIFE,Zydus Lifesciences Ltd,PHARMACEUTICALS
